,age,job,marital,education,default,housing,loan,month,day_of_week,duration,campaign,poutcome,y,contact_telephone
0,56,9,1,5,1,1,1,1,2,261,1,1,0,1
1,57,4,1,2,2,1,1,1,2,149,1,1,0,1
2,37,4,1,2,1,3,1,1,2,226,1,1,0,1
3,40,1,1,6,1,1,1,1,2,151,1,1,0,1
4,56,4,1,2,1,1,3,1,2,307,1,1,0,1
5,45,4,1,3,2,1,1,1,2,198,1,1,0,1
6,59,1,1,4,1,1,1,1,2,139,1,1,0,1
7,41,2,1,7,2,1,1,1,2,217,1,1,0,1
8,24,3,2,4,1,3,1,1,2,380,1,1,0,1
9,25,4,2,2,1,3,1,1,2,50,1,1,0,1
10,41,2,1,7,2,1,1,1,2,55,1,1,0,1
11,25,4,2,2,1,3,1,1,2,222,1,1,0,1
12,29,2,2,2,1,1,3,1,2,137,1,1,0,1
13,57,9,3,5,1,3,1,1,2,293,1,1,0,1
14,35,2,1,6,1,3,1,1,2,146,1,1,0,1
15,54,6,1,3,2,3,3,1,2,174,1,1,0,1
16,35,2,1,6,1,3,1,1,2,312,1,1,0,1
17,46,2,1,6,2,3,3,1,2,440,1,1,0,1
18,50,2,1,3,1,3,3,1,2,353,1,1,0,1
19,39,5,2,3,2,1,1,1,2,195,1,1,0,1
20,30,10,1,2,1,1,1,1,2,38,1,1,0,1
21,55,2,1,5,2,3,1,1,2,262,1,1,0,1
22,55,6,2,2,1,3,1,1,2,342,1,1,0,1
23,41,3,2,2,1,3,1,1,2,181,1,1,0,1
24,37,1,1,2,1,3,1,1,2,172,1,1,0,1
25,35,3,1,1,1,1,3,1,2,99,1,1,0,1
26,59,3,1,7,1,3,1,1,2,93,1,1,0,1
27,39,8,1,3,2,1,1,1,2,233,1,1,0,1
28,54,3,2,1,2,1,1,1,2,255,2,1,0,1
29,55,12,1,1,2,2,2,1,2,362,1,1,0,1
30,46,1,1,7,1,1,1,1,2,348,1,1,0,1
31,59,3,1,7,1,3,1,1,2,386,1,1,0,1
32,49,2,1,7,1,1,1,1,2,73,1,1,0,1
33,54,5,1,5,2,3,1,1,2,230,1,1,0,1
34,54,2,3,5,1,1,1,1,2,208,1,1,0,1
35,55,12,1,5,2,3,1,1,2,336,1,1,0,1
